DEVICES INFO,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DeviceID,ConfigID,SystemID,DeviceType,Status,Remarks,,SystemID,ConfigID,FacilityID,SystemType,Status,Remarks,,FacilityID,ConfigID,FacilityName,FacilityType,Area,Status,Remarks
C1-00101,,B1-00101,RFID Reader,,Special/Res.,,B1-00101,,A1-00101,Special/Res.,,,,A1-00101,,Gate,Others,Gnd Flr,,
C1-00102,,B1-00102,RFID Reader,,Special/Res.,,B1-00102,,A1-00102,Special/Res.,,,,A1-00102,,Ground,Others,Gnd Flr,,
C1-00103,,B1-00103,RFID Reader,,Special/Res.,,B1-00103,,A1-00103,Special/Res.,,,,A1-00103,,Office 1,Office,Gnd Flr,,
C1-00104,,B1-00104,RFID Reader,,Special/Res.,,B1-00104,,A1-00104,Special/Res.,,,,A1-00104,,Office 2,Office,Gnd Flr,,
C1-00105,,B1-00105,RFID Reader,,Special/Res.,,B1-00105,,A1-00105,Special/Res.,,,,A1-00105,,Office 3,Office,Gnd Flr,,
C1-00106,,B1-00106,RFID Reader,,Special/Res.,,B1-00106,,A1-00106,Special/Res.,,,,A1-00106,,Office 4,Office,Gnd Flr,,
C1-00107,,B1-00107,RFID Reader,,Special/Res.,,B1-00107,,A1-00107,Special/Res.,,,,A1-00107,,Office 5,Office,Gnd Flr,,
C1-00108,,B1-00108,RFID Reader,,Special/Res.,,B1-00108,,A1-00108,Special/Res.,,,,A1-00108,,Office 6,Office,Gnd Flr,,
C1-00109,,B1-00109,RFID Reader,,Special/Res.,,B1-00109,,A1-00109,Special/Res.,,,,A1-00109,,Office 7,Office,Gnd Flr,,
C1-00110,,B1-00110,RFID Reader,,Special/Res.,,B1-00110,,A1-00110,Special/Res.,,,,A1-00110,,Office 8,Office,Gnd Flr,,
C1-00111,,B1-00111,RFID Reader,,Special/Res.,,B1-00111,,A1-00111,Special/Res.,,,,A1-00111,,Office 9,Office,Gnd Flr,,
C1-00112,,B1-00112,RFID Reader,,Special/Res.,,B1-00112,,A1-00112,Special/Res.,,,,A1-00112,,Conf. Room,Events,Gnd Flr,,
C2-00201,,B2-00201,RFID Reader,,Special/Res.,,B2-00201,,A2-00201,Special/Res.,,,,A2-00201,,Rm 201,Classroom,2nd Flr,,
